Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,MAE_Episode1,Pearson_Episode1,MAE_Episode2,Pearson_Episode2,MAE_Avg,Pearson_Avg
136,gpt-5-chat,0.85,2,9,0.13559752094323446,0.9017695495886168,0.20570795228482647,0.9069196613310931,0.17065273661403046,0.904344605459855
137,gpt-4.1,0.6,3,9,0.15136412459294646,0.8822210316978482,0.18994816185335728,0.9105684940641144,0.17065614322315187,0.8963947628809813
138,gpt-4.1,0.7,2,9,0.15326978618350132,0.8734900957358753,0.18875171485820508,0.9135656735714001,0.17101075052085318,0.8935278846536376
139,gpt-4.1,0.55,2,3,0.14079282493660944,0.9868823809886105,0.2038796528194505,0.902581601511467,0.17233623887802996,0.9447319912500387
140,gpt-5-chat,0.9,2,9,0.13864099688688747,0.8968662787884074,0.20721809432768262,0.9039728910269155,0.17292954560728505,0.9004195849076615
141,gpt-5-chat,0.75,3,9,0.1386085247731814,0.9054555753857966,0.2110854376193891,0.900749698163215,0.17484698119628525,0.9031026367745059
142,gpt-5-chat,0.25,3,6,0.18538715131120004,0.9884010774446738,0.16563706323902247,0.9215480016862281,0.17551210727511124,0.954974539565451
143,gpt-5-chat,0.25,2,6,0.18337681080303986,0.9864155481010146,0.17362004011011015,0.9178176331762115,0.17849842545657502,0.9521165906386131
144,gpt-4.1,0.5,2,3,0.16109681269176418,0.9840675422506282,0.1979890738013636,0.9098589889406516,0.1795429432465639,0.9469632655956399
145,gpt-5-chat,0.4,3,3,0.15725627249836957,0.9675004582821475,0.20200152084036027,0.9028129770205577,0.17962889666936493,0.9351567176513527
146,gpt-4.1,0.95,3,6,0.17971586281060567,0.8977761967847739,0.17982054167969375,0.9227621417889653,0.17976820224514972,0.9102691692868696
147,gpt-5-chat,0.4,2,3,0.1637914454602699,0.9480837401143727,0.19592549969894504,0.9123294417981714,0.17985847257960746,0.930206590956272
148,gpt-5-chat,0.95,2,9,0.14996553245630245,0.8830900240183004,0.21260969384068318,0.9016408752710899,0.18128761314849282,0.8923654496446951
149,gpt-4.1,0.75,2,9,0.17612736827168074,0.8593177075458683,0.1886374589199796,0.9144094109627406,0.18238241359583018,0.8868635592543045
150,gpt-5-chat,0.8,3,9,0.15452629649731817,0.8871374746849423,0.21251330703850535,0.8969097026788512,0.18351980176791177,0.8920235886818968
151,gpt-5-chat,0.35,3,3,0.16932367764863798,0.9521161218100521,0.20156376484166996,0.9076327155125435,0.18544372124515396,0.9298744186612978
152,gpt-4.1,0.65,3,9,0.1724600844268826,0.8621734601891321,0.1988919338537893,0.9033718720140813,0.18567600914033594,0.8827726661016067
153,gpt-4.1,0.45,2,3,0.16039218187854754,0.9827232785973671,0.2129814943607259,0.8971560440345674,0.1866868381196367,0.9399396613159672
154,gpt-4.1,0.45,3,3,0.1679410128169732,0.9796134183412749,0.2095412174126913,0.8995184192029811,0.18874111511483227,0.939565918772128
155,gpt-4.1,0.8,2,9,0.18200759993668378,0.8519054587409234,0.19927079481086485,0.9055248996150524,0.19063919737377433,0.8787151791779879
156,gpt-5-chat,0.35,2,3,0.17780758936556695,0.955952278652463,0.20787534130588461,0.9047832258861087,0.19284146533572577,0.9303677522692859
157,gpt-4.1,0.7,3,9,0.1837483506098921,0.8533092610460047,0.20325098262744085,0.9033284061269611,0.19349966661866647,0.8783188335864829
158,gpt-5-chat,0.85,3,9,0.16750832633659232,0.8697510341930251,0.21988879207684167,0.8942191166775472,0.193698559206717,0.8819850754352861
159,gpt-4.1,0.85,2,9,0.1883881701967393,0.8501502978061376,0.20056188814020945,0.9077482391899591,0.19447502916847437,0.8789492684980483
160,gpt-4.1,0.4,2,3,0.1747149743864624,0.9851594858858619,0.21621957716741852,0.8922579416075743,0.19546727577694045,0.938708713746718
161,gpt-5-chat,0.3,3,3,0.18291970948437652,0.9630898766226003,0.2082182393411782,0.9059903590311641,0.19556897441277737,0.9345401178268822
162,gpt-4.1,0.4,3,3,0.16868639660362073,0.9849197264714488,0.22309375045326796,0.8851556262223523,0.19589007352844434,0.9350376763469006
163,gpt-4.1,0.9,2,9,0.19637457251162801,0.8368884462426633,0.20758507831169012,0.90065988073691,0.20197982541165907,0.8687741634897866
164,gpt-5-chat,0.3,2,3,0.18982141348398784,0.9499248690901645,0.21527734416936503,0.8987586549714189,0.20254937882667645,0.9243417620307917
165,gpt-5-chat,0.9,3,9,0.18698825365124483,0.8442921611334678,0.2202427402899424,0.8906042513799151,0.2036154969705936,0.8674482062566915
166,gpt-4.1,0.35,3,3,0.18538477327604463,0.982303531322563,0.22658602852182763,0.8808474921050992,0.20598540089893613,0.9315755117138311
167,gpt-5-chat,0.25,3,3,0.1965259415810542,0.9559250996805608,0.2163537146670705,0.897022665576183,0.20643982812406236,0.9264738826283719
168,gpt-4.1,0.3,3,3,0.18292047590626498,0.9828985188788951,0.23103079899564719,0.8879938978963708,0.2069756374509561,0.9354462083876329
169,gpt-4.1,0.95,2,9,0.21516676620684233,0.8159581994511151,0.19891647041047883,0.9060742230648974,0.20704161830866058,0.8610162112580062
170,gpt-4.1,0.8,3,9,0.21105326131569202,0.8300256161813261,0.2050678633018916,0.9047781851122302,0.20806056230879183,0.8674019006467781
171,gpt-4.1,0.75,3,9,0.20833192926541996,0.8298659650703771,0.21285768445327838,0.8952907539044556,0.21059480685934917,0.8625783594874163
172,gpt-5-chat,0.25,2,3,0.20412744186143802,0.9505271494401111,0.22036790658080108,0.8952196577721757,0.21224767422111956,0.9228734036061434
173,gpt-5-chat,0.95,3,9,0.199002678771312,0.8294680123318394,0.22612117638861592,0.8868645630433165,0.21256192757996395,0.858166287687578
174,gpt-4.1,0.35,2,3,0.20036082374302328,0.976173127449645,0.23335820126204665,0.8825495200492589,0.21685951250253496,0.929361323749452
175,gpt-4.1,0.85,3,9,0.23011426237785562,0.8065102233104731,0.21178134890541106,0.894921121166474,0.22094780564163335,0.8507156722384736
176,gpt-4.1,0.25,2,3,0.21103459924503504,0.9758881517190369,0.24124761548124216,0.8729722056349706,0.22614110736313858,0.9244301786770037
177,gpt-4.1,0.3,2,3,0.21306100354875204,0.9730751201503753,0.24063584661098586,0.8722315371582167,0.22684842507986896,0.922653328654296
178,gpt-4.1,0.25,3,3,0.21406474090085906,0.9727248402478208,0.2407586038876569,0.8692414464139794,0.22741167239425797,0.9209831433309001
179,gpt-4.1,0.9,3,9,0.2537881995238212,0.7827075699230962,0.21068140441344857,0.896156651299216,0.23223480196863489,0.8394321106111561
180,gpt-4.1,0.95,3,9,0.25440845596430894,0.7572689700211569,0.21556402133806055,0.890212165100875,0.23498623865118473,0.8237405675610159
